ID,CURRENT_APPLICATION_NUMBER,CURRENT_INSTITUTE_NAME,INSTI_STATE,INSTITUTE_DISTRICT,INST_TYPE,PROGRAMME,AFFILIATING_UNIVERSITY,LEVEL_OF_COURSE,COURSE,ACCREDITATION_STATUS,ACCREDITATION_TYPE,ACCREDITATION_TILL,APPROVED_INTAKE
1820,1-9317636396,PRIYADARSHINI COLLEGE OF ENGINEERING,Maharashtra,NAGPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2023,120
1821,1-9317636396,PRIYADARSHINI COLLEGE OF ENGINEERING,Maharashtra,NAGPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",UNDER GRADUATE,BIOTECHNOLOGY,ACCREDITED,NBA,30-06-2022,60
1822,1-9317636396,PRIYADARSHINI COLLEGE OF ENGINEERING,Maharashtra,NAGPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",UNDER GRADUATE,CHEMICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,60
1823,1-9317645559,GOVT POLYTECHNIC FOR WOMEN KANDAGHAT,Himachal Pradesh,SOLAN,Government,ENGINEERING AND TECHNOLOGY,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",DIPLOMA,COMPUTER ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1824,1-9317644380,NATIONAL INSTITUTE OF AGRICULTURAL EXTENSION MANAGEMENT,Telangana,RANGAREDDI,Government,MANAGEMENT,None,POST GRADUATE DIPLOMA,PGDM(AGRI BUSINESS MANAGEMENT),ACCREDITED,NBA,30-06-2022,100
1825,1-9317672316,GOVT POLYTECHNIC HISAR,Haryana,HISAR,Government,ENGINEERING AND TECHNOLOGY,Directorate of Technical Education,DIPLOMA,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1826,1-9317682264,SIDDHARTHA INSTITUTE OF ENGINEERING TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2022,120
1827,1-9317682264,SIDDHARTHA INSTITUTE OF ENGINEERING TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2022,120
1828,1-9317682264,SIDDHARTHA INSTITUTE OF ENGINEERING TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,ACCREDITED,NBA,30-06-2022,180
1829,1-9317674767,VIVEKANAND EDUCATION SOCIETY S INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH,Maharashtra,MUMBAI SUBURBAN,Private-Self Financing,MANAGEMENT,"Mumbai University, Mumbai",POST GRADUATE,MMS,ACCREDITED,NBA,30-06-2022,180
1830,1-9317672834,NRI INSTITUTE OF TECHNOLOGY,Andhra Pradesh,KRISHNA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1831,1-9317672834,NRI INSTITUTE OF TECHNOLOGY,Andhra Pradesh,KRISHNA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-12-2022,180
1832,1-9317672834,NRI INSTITUTE OF TECHNOLOGY,Andhra Pradesh,KRISHNA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,ACCREDITED,NBA,30-06-2022,180
1833,1-9317674943,S P JAIN INSTITUTE OF MANAGEMENT RESEARCH,Maharashtra,MUMBAI CITY,Private-Self Financing,MANAGEMENT,None,POST GRADUATE DIPLOMA,PGDM,ACCREDITED,NBA,30-06-2021,240
1834,1-9317681010,VISHWAKARMA INSTITUTE OF TECHNOLOGY,Maharashtra,PUNE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,CHEMICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
1835,1-9317681010,VISHWAKARMA INSTITUTE OF TECHNOLOGY,Maharashtra,PUNE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,INSTRUMENTATION AND CONTROL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
1836,1-9317681010,VISHWAKARMA INSTITUTE OF TECHNOLOGY,Maharashtra,PUNE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,240
1837,1-9317681010,VISHWAKARMA INSTITUTE OF TECHNOLOGY,Maharashtra,PUNE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,COMPUTER ENGINEERING,ACCREDITED,NBA,30-06-2022,240
1838,1-9317677482,SVERI S COLLEGE OF ENGINEERING PANDHARPUR,Maharashtra,SOLAPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Solapur University, Solapur",UNDER GRADUATE,ELECTRONICS & TELE-COMMUNICATION ENGINEERING,ACCREDITED,NBA,30-06-2023,120
1839,1-9317677482,SVERI S COLLEGE OF ENGINEERING PANDHARPUR,Maharashtra,SOLAPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Solapur University, Solapur",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2023,120
1840,1-9317677482,SVERI S COLLEGE OF ENGINEERING PANDHARPUR,Maharashtra,SOLAPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Solapur University, Solapur",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2023,120
1841,1-9317677482,SVERI S COLLEGE OF ENGINEERING PANDHARPUR,Maharashtra,SOLAPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Solapur University, Solapur",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,120
1842,1-9317687209,N G S M INSTITUTE OF PHARMACEUTICAL SCIENCES,Karnataka,D KANNADA(DK),Deemed to be University(Pvt),PHARMACY,"Nitte (Deemed to be University), Mangaluru",UNDER GRADUATE,PHARMACY,ACCREDITED,NBA,30-06-2021,100
1843,1-9317788344,THAKUR COLLEGE OF ENGINEERING TECHNOLOGY,Maharashtra,MUMBAI SUBURBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Mumbai University, Mumbai",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2022,120
1844,1-9317788344,THAKUR COLLEGE OF ENGINEERING TECHNOLOGY,Maharashtra,MUMBAI SUBURBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Mumbai University, Mumbai",UNDER GRADUATE,COMPUTER ENGINEERING,ACCREDITED,NBA,30-06-2022,180
1845,1-9317788344,THAKUR COLLEGE OF ENGINEERING TECHNOLOGY,Maharashtra,MUMBAI SUBURBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Mumbai University, Mumbai",UNDER GRADUATE,ELECTRONICS & TELE-COMMUNICATION ENGINEERING,ACCREDITED,NBA,30-06-2022,120
1846,1-9317788344,THAKUR COLLEGE OF ENGINEERING TECHNOLOGY,Maharashtra,MUMBAI SUBURBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Mumbai University, Mumbai",UNDER GRADUATE,ELECTRONICS AND COMPUTER SCIENCE,ACCREDITED,NBA,30-06-2022,60
1847,1-9317789119,GOVERNMENT POLYTECHNIC MURTIZAPUR,Maharashtra,AKOLA,Government,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,COMPUTER ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1848,1-9317789119,GOVERNMENT POLYTECHNIC MURTIZAPUR,Maharashtra,AKOLA,Government,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1849,1-9317789119,GOVERNMENT POLYTECHNIC MURTIZAPUR,Maharashtra,AKOLA,Government,ENGINEERING AND TECHNOLOGY,"Maharashtra State Board of Technical Education, Mumbai",DIPLOMA,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
1850,1-9317727625,DR D Y PATIL INSTITUTE OF TECHNOLOGY ,Maharashtra,PUNE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,ELECTRONICS & TELE-COMMUNICATION ENGINEERING,ACCREDITED,NBA,30-06-2021,180
1851,1-9317727625,DR D Y PATIL INSTITUTE OF TECHNOLOGY ,Maharashtra,PUNE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,COMPUTER ENGINEERING,ACCREDITED,NBA,30-06-2021,240
1852,1-9317727625,DR D Y PATIL INSTITUTE OF TECHNOLOGY ,Maharashtra,PUNE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,INSTRUMENTATION ENGINEERING,ACCREDITED,NBA,30-06-2021,30
